,Unnamed: 0,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90
186,186,Emerson,Chelsea,3,270,0,0,0.46,0.70,0.15,0.23
187,187,Alisson,Liverpool,1,38,0,0,0.00,0.00,0.0,0.0
188,188,Moise Kean,Everton,3,59,0,0,0.15,0.49,0.23,0.74
189,189,Jorginho,Chelsea,3,237,0,0,0.08,0.06,0.03,0.02
190,190,Emil Krafth,Newcastle United,2,180,0,0,0.20,0.00,0.1,0.0
191,191,Marcos Alonso,Chelsea,1,1,0,0,0.00,0.00,0.0,0.0
192,192,Tom Heaton,Aston Villa,3,270,0,0,0.00,0.00,0.0,0.0
193,193,Matthew Lowton,Burnley,3,270,0,0,0.01,0.17,0.0,0.06
194,194,Michael Keane,Everton,3,270,0,0,0.00,0.06,0.0,0.02
195,195,Ben Mee,Burnley,3,270,0,0,0.06,0.14,0.02,0.05
196,196,James Tarkowski,Burnley,3,270,0,0,0.06,0.00,0.02,0.0
197,197,David Luiz,Arsenal,2,180,0,0,0.05,0.00,0.02,0.0
198,198,Dominic Solanke,Bournemouth,3,27,0,0,0.50,0.33,1.68,1.11
199,199,Ryan Fraser,Bournemouth,3,270,0,0,0.52,0.14,0.17,0.05
200,200,Ahmed Elmohamady,Aston Villa,3,181,0,0,0.00,0.52,0.0,0.26
201,201,Harry Maguire,Manchester United,3,270,0,0,0.01,0.10,0.0,0.03
202,202,Andrew Robertson,Liverpool,3,270,0,0,0.27,0.65,0.09,0.22
203,203,Robert Snodgrass,West Ham,2,123,0,0,0.14,0.47,0.11,0.34
204,204,Javier Manquillo,Newcastle United,1,90,0,0,0.00,0.01,0.0,0.01
205,205,Roberto Pereyra,Watford,2,133,0,0,0.46,0.00,0.31,0.0
206,206,Isaac Success,Watford,1,14,0,0,0.00,0.00,0.0,0.0
207,207,Abdoulaye Doucouré,Watford,3,270,0,0,0.62,0.63,0.21,0.21
208,208,Georges-Kévin Nkoudou,Tottenham,1,1,0,0,0.06,0.00,5.07,0.0
209,209,Sofiane Boufal,Southampton,2,21,0,1,0.00,0.76,0.0,3.28
210,210,Jack Stephens,Southampton,1,76,0,0,0.00,0.00,0.0,0.0
211,211,Paul Pogba,Manchester United,3,270,0,2,1.07,0.79,0.36,0.26
212,212,Jeff Hendrick,Burnley,1,2,0,0,0.00,0.00,0.0,0.0
213,213,Ainsley Maitland-Niles,Arsenal,3,270,0,1,0.02,0.48,0.01,0.16
214,214,Arthur Masuaku,West Ham,2,180,0,0,0.02,0.10,0.01,0.05
215,215,Nampalys Mendy,Leicester,1,1,0,0,0.00,0.00,0.0,0.0
216,216,Trent Alexander-Arnold,Liverpool,3,270,0,2,0.36,1.77,0.12,0.59
217,217,Lucas Digne,Everton,3,255,0,1,0.21,0.38,0.07,0.13
218,218,Ravel Morrison,Sheffield United,1,11,0,0,0.03,0.00,0.22,0.0
219,219,Martín Montoya,Brighton,3,270,0,0,0.03,0.34,0.01,0.11
220,220,Jota,Aston Villa,3,122,0,1,0.02,0.53,0.02,0.39
221,221,Jefferson Lerma,Bournemouth,3,270,0,0,0.05,0.00,0.02,0.0
222,222,Vicente Guaita,Crystal Palace,3,270,0,0,0.00,0.00,0.0,0.0
223,223,Emi,Norwich,3,270,0,2,0.17,0.84,0.06,0.28
224,224,Mateo Kovacic,Chelsea,3,198,0,1,0.10,0.15,0.04,0.07
225,225,Jonny,Wolverhampton Wanderers,3,270,0,0,0.06,0.04,0.02,0.01
226,226,Pablo Fornals,West Ham,3,129,0,0,0.06,0.00,0.04,0.0
227,227,Christian Atsu,Newcastle United,1,74,0,1,0.00,0.30,0.0,0.37
228,228,João Cancelo,Manchester City,1,1,0,0,0.00,0.00,0.0,0.0
229,229,André Gomes,Everton,3,225,0,0,0.01,0.20,0.0,0.08
230,230,Mat Ryan,Brighton,3,270,0,0,0.00,0.00,0.0,0.0
231,231,Dani Ceballos,Arsenal,3,171,0,2,0.07,0.20,0.04,0.1
232,232,Rodri,Manchester City,3,196,0,0,0.10,0.12,0.05,0.06
233,233,Aymeric Laporte,Manchester City,3,270,0,0,0.08,0.15,0.03,0.05
234,234,Christian Pulisic,Chelsea,3,188,0,1,0.26,0.57,0.12,0.27
235,235,Oleksandr Zinchenko,Manchester City,3,270,0,0,0.14,0.44,0.05,0.15
236,236,Issa Diop,West Ham,3,270,0,0,0.47,0.41,0.16,0.14
237,237,Frederic Guilbert,Aston Villa,1,90,0,0,0.03,0.00,0.03,0.0
238,238,Ricardo Pereira,Leicester,3,270,0,0,0.02,0.04,0.01,0.01
239,239,Fabinho,Liverpool,3,194,0,1,0.01,0.39,0.01,0.18
