,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,league,year
320,Yacine Adli,Bordeaux,3,139,0,1,0.06,0.60,0.04,0.39,5,2019
321,Sofiane Alakouch,Nimes,6,498,0,0,0.74,0.07,0.13,0.01,5,2019
322,Anthony Briancon,Nimes,5,450,0,0,0.14,0.06,0.03,0.01,5,2019
323,Florian Miguel,Nimes,6,540,0,0,0.39,0.59,0.07,0.1,5,2019
324,Gaetan Paquiez,Nimes,4,216,0,0,0.02,0.33,0.01,0.14,5,2019
325,Antonin Bobichon,Nimes,2,180,0,0,0.03,0.04,0.02,0.02,5,2019
326,Mehmet Zeki Çelik,Lille,5,450,0,2,0.13,0.78,0.03,0.16,5,2019
327,Rúnar Alex Rúnarsson,Dijon,4,360,0,0,0.00,0.00,0.0,0.0,5,2019
328,Senou Coulibaly,Dijon,4,309,0,0,0.18,0.02,0.05,0.01,5,2019
329,Jules Keita,Dijon,3,153,0,0,0.12,0.34,0.07,0.2,5,2019
330,Edouard Mendy,Rennes,4,360,0,0,0.00,0.00,0.0,0.0,5,2019
331,Ghislain Konan,Reims,4,272,0,0,0.00,0.38,0.0,0.13,5,2019
332,Xavier Chavalerin,Reims,6,540,0,0,0.14,1.02,0.02,0.17,5,2019
333,Axel Disasi,Reims,6,540,0,0,0.46,0.00,0.08,0.0,5,2019
334,Jordan Lefort,Amiens,5,392,0,0,0.01,0.02,0.0,0.0,5,2019
335,Juan Ferney Otero,Amiens,3,224,0,0,0.12,0.58,0.05,0.23,5,2019
336,Cheick Timite,Amiens,3,115,0,0,0.11,0.08,0.09,0.07,5,2019
337,Toma Basic,Bordeaux,2,90,0,0,0.45,0.00,0.45,0.0,5,2019
338,Matz Sels,Strasbourg,6,540,0,0,0.00,0.00,0.0,0.0,5,2019
339,Ibrahima Sissoko,Strasbourg,4,360,0,0,0.10,0.00,0.02,0.0,5,2019
340,Moataz Zemzemi,Strasbourg,1,17,0,0,0.02,0.03,0.12,0.14,5,2019
341,Colin Dagba,Paris Saint Germain,4,296,0,0,0.06,0.68,0.02,0.21,5,2019
342,Naif Aguerd,Dijon,4,360,0,0,0.06,0.00,0.01,0.0,5,2019
343,Youssouf Fofana,Strasbourg,1,19,0,0,0.00,0.00,0.0,0.0,5,2019
344,Sergi Palencia,Saint-Etienne,1,76,0,0,0.06,0.07,0.08,0.09,5,2019
345,Samuel Kalu,Bordeaux,6,527,0,1,1.41,0.72,0.24,0.12,5,2019
346,Duje Caleta-Car,Marseille,5,265,0,0,0.23,0.00,0.08,0.0,5,2019
347,Gelson Martins,Monaco,7,615,0,1,0.87,1.75,0.13,0.26,5,2019
348,Saman Ghoddos,Amiens,2,103,0,0,0.20,0.10,0.18,0.09,5,2019
349,Agustín Rogel,Toulouse,1,78,0,0,0.13,0.00,0.15,0.0,5,2019
350,Thomas Foket,Reims,6,540,0,0,0.38,0.06,0.06,0.01,5,2019
351,Nemanja Radonjic,Marseille,5,115,0,0,0.05,0.00,0.04,0.0,5,2019
352,Mickaël Alphonse,Dijon,6,529,0,0,0.09,0.06,0.02,0.01,5,2019
353,Kalidou Sidibe,Toulouse,3,30,0,0,0.00,0.00,0.0,0.0,5,2019
354,Florian Chabrolle,Marseille,1,14,0,0,0.00,0.00,0.0,0.0,5,2019
355,Benoit Badiashile Mukinayi,Monaco,5,450,0,0,0.05,0.02,0.01,0.0,5,2019
356,Jonathan Panzo,Monaco,2,103,0,0,0.08,0.00,0.07,0.0,5,2019
357,Kephren Thuram,Nice,1,1,0,0,0.00,0.00,0.0,0.0,5,2019
358,Bafode Diakite,Toulouse,6,532,0,0,0.94,0.00,0.16,0.0,5,2019
359,Imran Louza,Nantes,5,441,0,0,0.34,0.21,0.07,0.04,5,2019
360,Charles Nathan Abi,Saint-Etienne,1,6,0,0,0.00,0.00,0.0,0.0,5,2019
361,Eddy Sylvestre,Nice,1,33,0,0,0.00,0.00,0.0,0.0,5,2019
362,Eduardo Camavinga,Rennes,6,530,0,1,0.33,0.42,0.06,0.07,5,2019
363,Reinildo,Lille,3,106,0,0,0.00,0.00,0.0,0.0,5,2019
364,Stephy Mavididi,Dijon,4,258,0,0,0.32,0.67,0.11,0.23,5,2019
365,Lyle Foster,Monaco,2,60,0,0,0.27,0.00,0.41,0.0,5,2019
366,Sacha Boey,Rennes,2,24,0,0,0.00,0.00,0.0,0.0,5,2019
367,Albert-Nicolas Lottin,Bordeaux,1,46,0,0,0.00,0.00,0.0,0.0,5,2019
368,Theo Sainte Luce,Nimes,1,1,0,0,0.00,0.00,0.0,0.0,5,2019
369,Timothee Nkada,Reims,1,10,0,0,0.00,0.00,0.0,0.0,5,2019
370,Mohamed Simakan,Strasbourg,5,351,0,0,0.02,0.43,0.0,0.11,5,2019
371,Yassin Benrahou,Bordeaux,5,139,0,2,0.24,0.61,0.15,0.4,5,2019
372,Arthur Zagre,Paris Saint Germain,1,22,0,0,0.00,0.00,0.0,0.0,5,2019
373,Lucas Perrin,Marseille,1,90,0,0,0.48,0.00,0.48,0.0,5,2019
374,Isaac Lihadji,Marseille,1,12,0,0,0.00,0.00,0.0,0.0,5,2019
375,Predrag Rajkovic,Reims,6,540,0,0,0.00,0.00,0.0,0.0,5,2019
376,Nathanael Mbuku,Reims,4,57,0,0,0.00,0.00,0.0,0.0,5,2019
377,Gautier Larsonneur,Brest,6,540,0,0,0.00,0.00,0.0,0.0,5,2019
378,Jean-Charles Castelletto,Brest,5,450,0,0,0.32,0.03,0.06,0.01,5,2019
379,Denys Bain,Brest,5,450,0,0,0.00,0.00,0.0,0.0,5,2019
380,Haris Belkebla,Brest,6,494,0,0,0.00,0.10,0.0,0.02,5,2019
381,Ferris N'Goma,Brest,1,3,0,0,0.03,0.00,0.79,0.0,5,2019
382,Cristian Battocchio,Brest,6,77,0,0,0.02,0.17,0.02,0.2,5,2019
383,Brendan Chardonnet,Brest,2,180,0,0,0.07,0.00,0.03,0.0,5,2019
384,Joris Chotard,Montpellier,1,88,0,0,0.01,0.10,0.01,0.1,5,2019
385,Madih Talal,Amiens,1,17,0,0,0.00,0.00,0.0,0.0,5,2019
386,Mama Baldé,Dijon,6,432,0,0,1.55,0.89,0.32,0.19,5,2019
387,Bryan Soumaré,Dijon,6,163,0,0,0.20,0.42,0.11,0.23,5,2019
388,Rayan Philippe,Dijon,1,27,0,0,0.05,0.00,0.15,0.0,5,2019
389,Harold Moukoudi,Saint-Etienne,6,540,0,0,0.17,0.00,0.03,0.0,5,2019
390,Miguel Trauco,Saint-Etienne,4,360,0,0,0.11,0.06,0.03,0.02,5,2019
391,Tiago Djaló,Lille,4,322,0,0,0.00,0.00,0.0,0.0,5,2019
392,Domagoj Bradaric,Lille,6,436,0,1,0.38,0.65,0.08,0.13,5,2019
393,Yusuf Yazici,Lille,5,242,0,0,0.28,0.30,0.1,0.11,5,2019
394,Cheikh Niasse,Lille,1,13,0,0,0.00,0.00,0.0,0.0,5,2019
395,Abou Ouattara,Lille,1,7,0,0,0.00,0.00,0.0,0.0,5,2019
396,Abdoul Kader Bamba,Nantes,6,207,0,0,0.06,0.67,0.03,0.29,5,2019
397,Jean-Ricner Bellegarde,Strasbourg,6,415,0,0,0.10,0.12,0.02,0.03,5,2019
398,Fabien Centonze,Metz,6,540,0,0,0.08,0.31,0.01,0.05,5,2019
399,Mamadou Fofana,Metz,3,160,0,0,0.00,0.00,0.0,0.0,5,2019
400,Thomas Delaine,Metz,6,540,0,0,0.06,0.13,0.01,0.02,5,2019
401,John Boye,Metz,5,450,0,0,0.13,0.06,0.03,0.01,5,2019
402,Marcin Bulka,Paris Saint Germain,1,90,0,0,0.00,0.00,0.0,0.0,5,2019
403,Haris Duljevic,Nimes,4,173,0,1,0.14,0.68,0.07,0.35,5,2019
404,Cristian Benavente Bristol,Nantes,2,9,0,0,0.00,0.00,0.0,0.0,5,2019
405,Henry Onyekuru,Monaco,4,167,0,1,0.12,0.11,0.06,0.06,5,2019
406,Mathieu Goncalves,Toulouse,1,73,0,0,0.00,0.00,0.0,0.0,5,2019
407,Sidy Sarr,Nimes,5,114,0,1,0.73,0.30,0.57,0.24,5,2019
408,Vlatko Stojanovski,Nimes,1,14,0,0,0.00,0.00,0.0,0.0,5,2019
409,Ibrahim Cisse,Nice,2,36,0,0,0.05,0.00,0.13,0.0,5,2019
