,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,league,year
0,Kylian Mbappe-Lottin,Paris Saint Germain,29,2334,33,7,29.86,6.04,1.15,0.23,5,2018
1,Nicolas Pepe,Lille,38,3333,22,11,21.23,10.38,0.57,0.28,5,2018
2,Edinson Cavani,Paris Saint Germain,21,1677,18,5,15.45,3.70,0.83,0.2,5,2018
3,Florian Thauvin,Marseille,33,2640,16,8,12.11,5.52,0.41,0.19,5,2018
4,Falcao,Monaco,33,2570,15,2,15.05,2.01,0.53,0.07,5,2018
5,Neymar,Paris Saint Germain,17,1443,15,7,11.90,7.78,0.74,0.49,5,2018
6,Moussa Dembele,Lyon,33,2011,15,4,16.16,2.93,0.72,0.13,5,2018
7,Andy Delort,Montpellier,36,3160,14,7,14.12,7.16,0.4,0.2,5,2018
8,Wahbi Khazri,Saint-Etienne,32,2833,13,6,11.60,6.19,0.37,0.2,5,2018
9,Jonathan Bamba,Lille,38,3022,13,3,8.22,5.54,0.24,0.17,5,2018
10,Emiliano Sala,Nantes,19,1381,12,2,6.80,1.54,0.44,0.1,5,2018
11,Ángel Di María,Paris Saint Germain,30,2357,12,11,9.62,8.53,0.37,0.33,5,2018
12,Max Gradel,Toulouse,36,3240,11,5,14.25,6.06,0.4,0.17,5,2018
13,M'Baye Niang,Rennes,29,1799,11,4,8.72,2.02,0.44,0.1,5,2018
14,Gaetan Laborde,Bordeaux,37,3025,11,4,9.14,5.83,0.27,0.17,5,2018
15,Stéphane Bahoken,Montpellier,32,2527,11,1,9.27,1.83,0.33,0.07,5,2018
16,Memphis Depay,Angers,36,2736,10,10,14.20,9.87,0.47,0.32,5,2018
17,Francois Kamano,Lyon,37,2588,10,1,9.83,2.54,0.34,0.09,5,2018
18,Lebo Mothiba,Bordeaux,35,2019,10,2,7.34,1.57,0.33,0.07,5,2018
19,Remi Oudin,Lille,37,2647,10,4,8.65,3.10,0.29,0.11,5,2018
20,Nabil Fekir,Lyon,29,1986,9,7,10.11,5.37,0.46,0.24,5,2018
21,Robert Beric,Saint-Etienne,23,1159,9,1,7.97,1.27,0.62,0.1,5,2018
22,Martin Terrier,Lyon,32,1486,9,0,4.48,2.98,0.27,0.18,5,2018
23,Marcus Thuram,Guingamp,32,2597,9,1,10.62,2.56,0.37,0.09,5,2018
24,Ludovic Ajorque,Strasbourg,25,1541,9,1,5.79,1.09,0.34,0.06,5,2018
25,Mario Balotelli,Marseille,25,1717,8,1,7.96,2.02,0.42,0.11,5,2018
26,Valère Germain,Nice,36,2162,8,2,4.69,3.55,0.2,0.15,5,2018
27,Rémy Cabella,Marseille,34,3002,8,4,10.97,5.28,0.33,0.16,5,2018
28,Denis Bouanga,Saint-Etienne,35,2650,8,2,7.65,2.75,0.26,0.09,5,2018
29,Ismaila Sarr,Nimes,35,2809,8,6,5.95,7.30,0.19,0.23,5,2018
30,Joia Nuno Da Costa,Strasbourg,34,2061,8,5,5.29,2.90,0.23,0.13,5,2018
31,Kalifa Coulibaly,Nantes,32,1738,8,2,10.12,1.70,0.52,0.09,5,2018
32,Renaud Ripart,Nimes,38,3020,8,5,6.54,3.50,0.19,0.1,5,2018
33,Rafael Leão,Lille,24,1300,8,3,5.43,1.82,0.38,0.13,5,2018
34,Loïc Remy,Lille,26,1221,7,2,6.32,0.72,0.47,0.05,5,2018
35,Bertrand Traoré,Lyon,34,2129,7,2,5.60,2.44,0.24,0.1,5,2018
36,Maxwel Cornet,Lyon,27,1272,7,5,7.48,4.19,0.53,0.3,5,2018
37,Jimmy Briand,Bordeaux,35,2501,7,3,6.42,2.65,0.23,0.1,5,2018
38,Hatem Ben Arfa,Rennes,26,2043,7,2,6.97,4.41,0.31,0.19,5,2018
39,Mathieu Cafaro,Reims,34,2103,7,3,3.31,3.03,0.14,0.13,5,2018
40,Adrien Hunou,Rennes,19,1239,7,1,7.96,0.50,0.58,0.04,5,2018
41,Moussa Konate,Amiens,27,1884,7,2,8.30,2.29,0.4,0.11,5,2018
42,Houssem Aouar,Lyon,37,3075,7,7,6.99,4.52,0.2,0.13,5,2018
43,Antonin Bobichon,Nimes,30,2157,7,2,1.72,2.12,0.07,0.09,5,2018
44,Allan Saint-Maximin,Nice,34,2928,6,3,7.45,6.64,0.23,0.2,5,2018
45,Enzo Crivelli,Caen,33,2297,6,1,4.44,0.71,0.17,0.03,5,2018
46,Casimir Ninga,Caen,33,2490,6,3,5.47,2.40,0.2,0.09,5,2018
47,Benjamin Bourigeaud,Rennes,34,2445,6,5,6.79,2.78,0.25,0.1,5,2018
48,Florent Mollet,Montpellier,32,2593,6,4,3.88,6.68,0.13,0.23,5,2018
49,Téji Savanier,Nimes,32,2867,6,14,5.00,10.25,0.16,0.32,5,2018
50,Youcef Atal,Nice,29,2253,6,0,4.61,2.50,0.18,0.1,5,2018
51,Faycal Fajr,Caen,36,3240,5,4,3.00,3.80,0.08,0.11,5,2018
52,Majeed Waris,Nantes,33,2269,5,3,5.39,2.59,0.21,0.1,5,2018
53,Adrien Thomasson,Strasbourg,34,2501,5,8,4.79,3.37,0.17,0.12,5,2018
54,Morgan Sanson,Marseille,33,2408,5,3,2.59,2.44,0.1,0.09,5,2018
55,Pablo Chavarria,Reims,30,1975,5,3,6.05,1.27,0.28,0.06,5,2018
56,Rachid Alioui,Nimes,27,1204,5,0,5.37,1.58,0.4,0.12,5,2018
57,Júlio Tavares,Dijon,36,2802,5,4,8.33,3.44,0.27,0.11,5,2018
58,Lois Diony,Saint-Etienne,30,1599,5,1,7.94,1.79,0.45,0.1,5,2018
59,Flavien Tait,Angers,36,3004,5,7,6.76,6.87,0.2,0.21,5,2018
60,Youri Tielemans,Monaco,20,1686,5,1,2.60,2.03,0.14,0.11,5,2018
61,Kenny Lala,Strasbourg,34,3060,5,9,3.47,4.57,0.1,0.13,5,2018
62,Anthony Goncalves,Strasbourg,18,1058,5,2,1.34,1.47,0.11,0.13,5,2018
63,Clement Depres,Nimes,17,415,5,0,2.71,0.08,0.59,0.02,5,2018
64,Dimitri Payet,Marseille,31,1914,4,6,5.82,6.60,0.27,0.31,5,2018
65,Mathieu Debuchy,Saint-Etienne,24,1958,4,3,2.31,1.75,0.11,0.08,5,2018
66,Lucas Ocampos,Marseille,34,2722,4,7,5.96,3.93,0.2,0.13,5,2018
67,Eddy Gnahore,Amiens,34,2236,4,2,4.07,2.45,0.16,0.1,5,2018
68,Romain Hamouma,Saint-Etienne,27,1620,4,4,3.41,4.35,0.19,0.24,5,2018
69,Valentin Rongier,Nantes,36,3229,4,5,5.57,5.31,0.16,0.15,5,2018
70,Boschilia,Nantes,29,1323,4,4,4.44,1.50,0.3,0.1,5,2018
71,Wesley Said,Dijon,34,2261,4,1,5.30,2.45,0.21,0.1,5,2018
72,Wylan Cyprien,Nice,29,2373,4,2,4.65,4.19,0.18,0.16,5,2018
73,Jimmy Durmaz,Toulouse,36,1905,4,1,4.01,2.40,0.19,0.11,5,2018
74,Aaron Leya Iseka,Toulouse,28,1422,4,0,3.53,0.51,0.22,0.03,5,2018
75,Angelo Fulgini,Angers,31,1634,4,1,2.78,3.35,0.15,0.18,5,2018
76,Mathieu Dossevi,Toulouse,35,2499,4,2,2.62,3.95,0.09,0.14,5,2018
77,Gelson Martins,Monaco,16,1398,4,2,3.43,2.16,0.22,0.14,5,2018
78,Saman Ghoddos,Amiens,27,1845,4,4,2.83,2.31,0.14,0.11,5,2018
79,Julian Draxler,Paris Saint Germain,31,2047,3,7,4.21,4.58,0.19,0.2,5,2018
80,Eric Maxim Choupo-Moting,Paris Saint Germain,22,776,3,0,4.76,0.35,0.55,0.04,5,2018
81,José Fonte,Lille,36,3110,3,1,3.93,0.39,0.11,0.01,5,2018
82,Clinton N'Jie,Marseille,17,343,3,2,1.20,0.98,0.32,0.26,5,2018
83,Jeff Reine-Adelaide,Angers,35,2575,3,3,5.58,2.52,0.19,0.09,5,2018
84,Timothée Kolodziejczak,Saint-Etienne,36,3192,3,3,2.34,1.23,0.07,0.03,5,2018
85,Claudio Beauvue,Caen,25,1495,3,0,4.14,1.09,0.25,0.07,5,2018
86,Moussa Doumbia,Reims,28,1604,3,1,1.54,1.90,0.09,0.11,5,2018
87,Aleksandr Golovin,Monaco,30,2318,3,3,4.40,1.85,0.17,0.07,5,2018
88,Damien Le Tallec,Montpellier,36,2833,3,0,3.80,0.88,0.12,0.03,5,2018
89,Benjamin André,Rennes,30,2504,3,1,3.02,0.69,0.11,0.02,5,2018
90,Nicolas de Preville,Bordeaux,23,1259,3,2,2.10,4.09,0.15,0.29,5,2018
91,Marquinhos,Paris Saint Germain,30,2696,3,2,1.68,2.26,0.06,0.08,5,2018
92,Christopher Nkunku,Paris Saint Germain,22,1162,3,2,2.72,3.25,0.21,0.25,5,2018
93,Jonas Martin,Strasbourg,23,2063,3,1,3.92,1.32,0.17,0.06,5,2018
94,Ellyes Skhiri,Montpellier,37,3103,3,2,0.97,1.20,0.03,0.03,5,2018
95,Pablo Martinez,Strasbourg,32,2822,3,1,1.18,0.65,0.04,0.02,5,2018
96,Ismael Traoré,Angers,30,2636,3,1,4.15,0.18,0.14,0.01,5,2018
97,Thomas Mangani,Angers,29,1598,3,0,3.82,2.34,0.21,0.13,5,2018
98,Pierrick Capelle,Angers,26,1846,3,3,3.08,3.73,0.15,0.18,5,2018
99,Nicolas Benezet,Guingamp,25,1669,3,1,3.21,4.54,0.17,0.24,5,2018
100,Alexandre Mendy,Guingamp,16,761,3,0,2.77,0.35,0.33,0.04,5,2018
101,Souleymane Camara,Montpellier,12,111,3,0,1.01,0.18,0.82,0.15,5,2018
102,Abdoulaye Touré,Nantes,34,2747,3,1,1.70,1.60,0.06,0.05,5,2018
103,Jordan Siebatcheu,Rennes,15,605,3,1,4.38,0.18,0.65,0.03,5,2018
104,Sehrou Guirassy,Amiens,13,1117,3,1,4.61,1.57,0.37,0.13,5,2018
105,Lucas Deaux,Guingamp,18,1205,3,1,1.85,1.57,0.14,0.12,5,2018
