,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,Year,league
309,Anuar Mohamed,Real Valladolid,3,17,0,0,0.00,0.00,0.0,0.0,2019,2
310,Toni Villa,Real Valladolid,1,15,0,0,0.00,0.00,0.0,0.0,2019,2
311,Antoñito,Real Valladolid,2,67,0,0,0.00,0.00,0.0,0.0,2019,2
312,Mohammed Salisu,Real Valladolid,3,270,0,0,0.00,0.00,0.0,0.0,2019,2
313,Miguel De la Fuente,Real Valladolid,1,1,0,0,0.00,0.00,0.0,0.0,2019,2
314,William Carvalho,Real Betis,3,270,0,0,0.02,0.41,0.01,0.14,2019,2
315,Néstor Araújo,Celta Vigo,3,261,0,0,0.37,0.00,0.13,0.0,2019,2
316,Fran Beltrán,Celta Vigo,3,265,0,0,0.00,0.10,0.0,0.03,2019,2
317,Luca Sangalli,Real Sociedad,1,6,0,0,0.02,0.00,0.34,0.0,2019,2
318,Jorge Miramón,Levante,4,276,0,0,0.07,0.52,0.02,0.17,2019,2
319,Tomás Vaclik,Sevilla,3,270,0,0,0.00,0.00,0.0,0.0,2019,2
320,Vinícius Júnior,Real Madrid,4,208,0,1,0.93,0.66,0.4,0.29,2019,2
321,Kenneth Omeruo,Leganes,2,169,0,0,0.05,0.00,0.03,0.0,2019,2
322,Marc Cucurella,Getafe,3,270,0,2,0.02,0.62,0.01,0.21,2019,2
323,Nikola Vukcevic,Levante,4,305,0,0,0.01,0.00,0.0,0.0,2019,2
324,Rodrigo Tarín,Leganes,2,117,0,0,0.00,0.00,0.0,0.0,2019,2
325,Javier Avilés,Leganes,1,10,0,0,0.00,0.00,0.0,0.0,2019,2
326,Robin Le Normand,Real Sociedad,2,180,0,0,0.11,0.00,0.06,0.0,2019,2
327,Aihen Muñoz,Real Sociedad,3,268,0,0,0.00,0.00,0.0,0.0,2019,2
328,Ander Barrenetxea,Real Sociedad,1,5,0,0,0.00,0.00,0.0,0.0,2019,2
329,Lee Kang-In,Valencia,2,25,0,0,0.08,0.00,0.3,0.0,2019,2
330,Bryan Gil Salvatierra,Sevilla,1,30,0,0,0.00,0.00,0.0,0.0,2019,2
331,Enric Gallego,Getafe,2,100,0,0,0.00,0.00,0.0,0.0,2019,2
332,Yangel Herrera,Granada,1,90,0,0,0.00,0.00,0.0,0.0,2019,2
333,Diego Lainez,Real Betis,1,14,0,0,0.00,0.00,0.0,0.0,2019,2
334,Víctor Campuzano,Espanyol,2,100,0,0,0.00,0.00,0.0,0.0,2019,2
335,Wu Lei,Espanyol,3,156,0,0,0.80,0.08,0.46,0.05,2019,2
336,Emerson,Real Betis,3,270,0,2,0.03,1.14,0.01,0.38,2019,2
337,Xavier Quintillá,Villarreal,3,270,0,1,0.00,1.20,0.0,0.4,2019,2
338,Lucas Olaza,Celta Vigo,3,270,0,0,0.00,0.32,0.0,0.11,2019,2
339,Waldo Rubio,Real Valladolid,3,137,0,1,0.16,0.16,0.1,0.11,2019,2
340,Oihan Sancet,Athletic Club,1,23,0,0,0.00,0.00,0.0,0.0,2019,2
341,Gaizka Larrazabal,Athletic Club,2,48,0,0,0.00,0.00,0.0,0.0,2019,2
342,Joseph Aidoo,Celta Vigo,2,180,0,0,0.00,0.00,0.0,0.0,2019,2
343,Eder Militão,Real Madrid,1,28,0,0,0.00,0.00,0.0,0.0,2019,2
344,Manolo Reina,Mallorca,4,360,0,0,0.00,0.00,0.0,0.0,2019,2
345,Joan Sastre,Mallorca,4,356,0,0,0.12,0.28,0.03,0.07,2019,2
346,Martin Valjent,Mallorca,4,360,0,0,0.07,0.00,0.02,0.0,2019,2
347,Lumor Agbenyenu,Mallorca,3,270,0,0,0.05,0.54,0.02,0.18,2019,2
348,Iddrisu Baba,Mallorca,4,360,0,0,0.47,0.03,0.12,0.01,2019,2
349,Aleix Febas,Mallorca,4,283,0,1,0.14,0.80,0.05,0.25,2019,2
350,Lago Junior,Mallorca,4,360,0,0,1.02,0.62,0.26,0.15,2019,2
351,Xisco Campos,Mallorca,1,4,0,0,0.00,0.00,0.0,0.0,2019,2
352,Aridane Hernández,Osasuna,3,270,0,0,0.00,0.00,0.0,0.0,2019,2
353,Jon Moncayola,Osasuna,3,195,0,0,0.05,0.00,0.02,0.0,2019,2
354,Juan Villar,Osasuna,2,14,0,0,0.02,0.00,0.13,0.0,2019,2
355,Domingos Duarte,Granada,3,270,0,0,0.00,0.00,0.0,0.0,2019,2
356,Germán Sánchez,Granada,3,270,0,0,0.00,0.00,0.0,0.0,2019,2
357,Yan Eteki,Granada,2,165,0,0,0.03,0.04,0.02,0.02,2019,2
358,Luis Rioja,Alaves,3,174,0,0,0.11,0.25,0.06,0.13,2019,2
359,Borja Sainz,Alaves,1,20,0,0,0.06,0.00,0.28,0.0,2019,2
